Type of property,State of the property,Locality,Postal Code,Price,Number of bedrooms,Number of bathrooms,Living area,Construction year,Furnished,Number of facades,Number of floors,EPB,Energy class,Fully equipped kitchen,Terrace,Terrace area,Garden,Garden area,Swimming pool,Garage,Bike storage,Balcony,Cellar,Attic,Floor of apartment,Elevator,Air conditioning,Alarm,Access for disabled,Type of heating,URL
Apartment,New,Zandhoven,2240,279000,1,1,80,2023,0,2,2,,,,1,12,,,,,0,,0,,,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72743
Apartment,New,Zandhoven,2240,332000,2,1,91,2023,0,2,2,,,,1,13,,,,,0,,0,,,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72744
Apartment,New,Zandhoven,2240,359000,2,1,103,2023,0,2,2,,,,1,12,,,,,0,,0,,1,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72745
Apartment,New,Zandhoven,2240,400000,2,1,95,2023,0,2,2,,,,1,22,,,,,0,,0,,1,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72746
Apartment,New,Zandhoven,2240,321000,1,1,85,2023,0,2,2,,,,1,11,,,,,0,,0,,1,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72747
Apartment,New,Zandhoven,2240,400000,1,1,90,2023,0,2,2,,,,1,14,,,,,0,,0,,2,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72748
Apartment,New,Zandhoven,2240,251250,1,1,73,2023,0,2,3,,,,1,8,,,,,0,,0,,2,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72749
Apartment,New,Zandhoven,2240,259000,1,1,75,2023,0,2,3,,,,1,6,,,,,0,,0,,1,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72751
Apartment,Normal,Zoerle-Parwijs,2260,195000,2,1,102,1967,0,2,2,257,E-,,,,,,,,0,,0,0,1,0,,,,,https://immovlan.be/en/detail/apartment/for-sale/2260/zoerle-parwijs/rbt67578
Apartment,To be renovated,Turnhout,2300,169000,3,2,118,1972,0,3,5,262,E-,,1,,,,,1,0,,0,0,4,0,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbt66859
Apartment,Normal,Turnhout,2300,219000,1,1,58,1955,0,2,,169,D+,,1,,,,,,0,,0,,1,0,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbt72803
Apartment,Normal,Balen,2490,169000,1,1,85,,0,2,,593,G,,1,,,,,,0,,0,0,,0,,,,Electricity,https://immovlan.be/en/detail/apartment/for-sale/2490/balen/rbt72312
Apartment,New,Lier,2500,361200,2,1,116,2023,0,2,3,,,1,1,8,1,27,,,0,,0,0,,1,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rbt67551
Apartment,New,Lier,2500,302000,2,1,93,2023,0,2,3,,,1,1,8,1,,,,0,,0,0,,1,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rbt67552
Apartment,Normal,Lier,2500,325000,2,1,101,1984,0,3,4,195,D-,,1,8,,,,,0,,0,0,1,1,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rbt72466
Apartment,Normal,Putte,2580,290000,2,1,91,2008,0,,3,113,C,,1,,,,,1,0,,0,,2,1,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/2580/putte/rbt72721
Apartment,Normal,Hoboken,2660,229000,2,1,90,2014,,,2,140,C-,,1,8,,,,,,,0,,2,1,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/2660/hoboken/rbt72655
Apartment,New,Blaasveld,2830,514563,3,2,143,,,4,4,,,1,1,56,1,,,1,,,1,,2,1,,,,Hot air,https://immovlan.be/en/detail/apartment/for-sale/2830/blaasveld/rbt72304
Apartment,New,Blaasveld,2830,365878,2,1,97,,,4,4,,,1,1,16,1,,,1,,,1,,2,1,,,,Hot air,https://immovlan.be/en/detail/apartment/for-sale/2830/blaasveld/rbt72305
Apartment,New,Blaasveld,2830,361112,2,1,90,,,4,4,,,1,1,15,1,,,1,,,1,,2,1,,,,Hot air,https://immovlan.be/en/detail/apartment/for-sale/2830/blaasveld/rbt72306
Apartment,New,Blaasveld,2830,359454,2,1,91,,,2,4,,,1,1,16,,,,1,,,1,,1,1,,,,Hot air,https://immovlan.be/en/detail/apartment/for-sale/2830/blaasveld/rbt72629
Apartment,New,Blaasveld,2830,362491,2,1,93,,,2,4,,,1,1,16,,,,1,,,,,1,1,,,,Hot air,https://immovlan.be/en/detail/apartment/for-sale/2830/blaasveld/rbt72630
Apartment,New,Blaasveld,2830,359114,2,1,94,,,2,4,,,1,1,15,,,,1,,,,,1,1,,,,Hot air,https://immovlan.be/en/detail/apartment/for-sale/2830/blaasveld/rbt72631
Apartment,New,Blaasveld,2830,292464,1,1,78,,,4,4,,,1,1,19,,,,1,,,,,0,1,,,,Hot air,https://immovlan.be/en/detail/apartment/for-sale/2830/blaasveld/rbt72632
Apartment,New,Blaasveld,2830,366041,2,1,104,,,4,4,,,,1,20,,,,1,,,1,,0,1,,,,Hot air,https://immovlan.be/en/detail/apartment/for-sale/2830/blaasveld/rbt72633
Apartment,New,Blaasveld,2830,290491,1,1,81,,,4,4,,,,1,19,,,,1,,,1,,0,1,,,,Hot air,https://immovlan.be/en/detail/apartment/for-sale/2830/blaasveld/rbt72678
Apartment,,Willebroek,2830,234900,2,1,74,,,2,2,136,C-,,1,,,,0,1,0,,0,0,2,,,,,,https://immovlan.be/en/detail/apartment/for-sale/2830/willebroek/rbt72351
Apartment,,Willebroek,2830,238500,2,1,74,,,2,2,108,C+,,1,,,,0,1,0,,0,0,1,,,,,,https://immovlan.be/en/detail/apartment/for-sale/2830/willebroek/rbt72352
Apartment,,Willebroek,2830,229500,2,1,65,,,2,2,206,D-,,1,,1,,0,1,0,,0,0,0,,,,,,https://immovlan.be/en/detail/apartment/for-sale/2830/willebroek/rbt72353
Apartment,Normal,Willebroek,2830,339000,2,2,113,2010,0,2,219,107,C+,,1,12,,,,1,0,,0,0,2,1,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/2830/willebroek/rbt72457
Apartment,,Boom,2850,189000,1,1,,,0,,,274,E-,,1,,,,,,0,,0,,2,0,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/2850/boom/rbt72518
Apartment,New,Puurs-Sint-Amands,2870,155000,1,1,60,,0,,2,,,,1,11,,,,,0,,0,,,0,,,,,https://immovlan.be/en/detail/apartment/for-sale/2870/puurs-sint-amands/rbt72677
Apartment,To be renovated,Kessel-Lo,3010,285000,2,1,94,1967,,,4,216,E+,,1,,,,0,1,0,,0,0,4,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/3010/kessel-lo/rbt72335
Apartment,,Houthalen-Helchteren,3530,188000,2,1,90,1980,0,,,140,C-,,1,,,,,,0,,0,0,,0,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/3530/houthalen-helchteren/rbt72291
Apartment,Normal,Lummen,3560,275000,1,1,63,1977,1,,,95,C+,,1,4,,,,1,0,,0,0,4,1,,,,Hot air,https://immovlan.be/en/detail/apartment/for-sale/3560/lummen/rbt72347
Apartment,Normal,Lommel,3920,269000,2,1,111,1991,0,,3,197,D-,,,,,,,1,,,0,0,2,1,1,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/3920/lommel/rbt72264
Apartment,Excellent,Leopoldsburg,3970,259000,2,1,72,2013,0,2,4,83,B-,,1,,,,,,,,1,,3,1,,1,,Gas,https://immovlan.be/en/detail/apartment/for-sale/3970/leopoldsburg/rbt72669
Apartment,Fully renovated,Liege,4000,215000,2,1,88,,,,,140,C-,,1,2,,,,,,,0,0,1,1,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/4000/liege/vbc87207
Apartment,Normal,Liege,4000,234000,2,1,75,,0,3,2,118,C,,1,7,,,,1,,,1,,1,,,,,,https://immovlan.be/en/detail/apartment/for-sale/4000/liege/vbc87565
Apartment,Fully renovated,Liege,4000,649000,3,2,215,,,,,141,C-,,1,7,,,,1,,,0,0,3,1,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/4000/liege/vbc88266
Apartment,To renovate,Liege,4000,115000,1,1,67,1940,,4,2,229,E+,1,,,,,0,,,,,,,0,,,1,Gas,https://immovlan.be/en/detail/apartment/for-sale/4000/liege/vbc91287
Apartment,To renovate,Liege,4000,120000,2,1,67,1945,,4,2,467,G,1,,,,,0,,,,,,,0,,,1,Gas,https://immovlan.be/en/detail/apartment/for-sale/4000/liege/vbc91288
Apartment,Excellent,Liege,4000,299000,2,1,115,,0,3,1,293,F,,,,1,3000,,,,,,,1,0,,,0,,https://immovlan.be/en/detail/apartment/for-sale/4000/liege/vbc91646
Apartment,Fully renovated,Liege,4020,339000,3,1,120,,,,,181,D,,,,,,,,,,0,0,3,0,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/4020/liege/vbc87152
Apartment,,Liege,4020,155000,3,0,,,,,,140,C-,,,,,,,,0,,0,,,,,,,,https://immovlan.be/en/detail/apartment/for-sale/4020/liege/vbc91476
Apartment,Normal,Saint-Nicolas,4420,199000,3,1,115,,0,2,1,721,G,1,,,,,0,,,,1,,2,0,,,0,Fuel oil,https://immovlan.be/en/detail/apartment/for-sale/4420/saint-nicolas/vbc88999
Apartment,Excellent,Saint-Georges-sur-Meuse,4470,470000,3,2,166,2019,,2,3,80,B-,1,1,10,1,,0,,,,1,,,1,,,1,Gas,https://immovlan.be/en/detail/apartment/for-sale/4470/saint-georges-sur-meuse/vbc75234
Apartment,Normal,Huy,4500,170000,2,1,67,1962,,3,8,304,F,,1,,,,0,1,,1,,,,1,,,0,,https://immovlan.be/en/detail/apartment/for-sale/4500/huy/vbc88007
Apartment,Normal,Fléron,4620,199000,3,1,105,,0,2,,408,G,1,1,6,,,0,1,,,,,3,1,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/4620/fleron/vbc91332
Apartment,New,Eupen,4700,,2,1,94,,0,,2,78,B-,,1,6,,,,1,1,1,,,1,1,,,1,,https://immovlan.be/en/detail/apartment/for-sale/4700/eupen/vbc91556
Apartment,New,Namur,5000,241401,1,1,64,,0,,6,48,B+,,1,7,,,,1,1,1,,,1,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbc91558
Apartment,New,Namur,5000,316720,2,1,90,,0,,6,47,B+,,1,8,,,,1,1,1,,,2,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbc91559
Apartment,New,Saint-Servais,5002,311000,3,2,105,2025,0,,4,58,B+,,1,18,,,,1,,1,,,3,1,,,1,Gas,https://immovlan.be/en/detail/apartment/for-sale/5002/saint-servais/vbc91557
Apartment,,Gembloux,5030,419000,3,0,133,,,,,91,B-,,1,,,,,,,,,,0,,,,,,https://immovlan.be/en/detail/apartment/for-sale/5030/gembloux/vbc91609
Apartment,,Gembloux,5030,315000,2,0,93,,,,,96,C+,,1,,,,,,,,,,0,,,,,,https://immovlan.be/en/detail/apartment/for-sale/5030/gembloux/vbc91615
Apartment,Normal,Jambes,5100,199000,2,1,78,,0,,,213,E+,1,0,,0,,,1,0,,0,0,2,0,,,,,https://immovlan.be/en/detail/apartment/for-sale/5100/jambes/vbc55980
Apartment,Normal,Andenne,5300,132000,1,1,65,2007,0,,1,152,D+,1,,,,,0,,,,,,,0,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/5300/andenne/vbc91305
Apartment,Normal,Andenne,5300,140000,1,1,53,2007,0,,1,162,D+,1,,,1,,0,,,,,,,0,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/5300/andenne/vbc91306
Apartment,New,Ciney,5590,215000,1,1,65,,0,,3,42,A-,,1,6,,,,,,,,,1,,,,,,https://immovlan.be/en/detail/apartment/for-sale/5590/ciney/vbc91560
Apartment,Normal,Charleroi,6000,147000,3,1,80,1960,,2,7,643,G,,1,13,,,0,,,,,,,1,,,1,Gas,https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc87000
Apartment,Normal,Châtelet,6200,189000,2,1,,1994,0,2,4,188,D,,,,,,,,,,1,1,4,1,,,1,Gas,https://immovlan.be/en/detail/apartment/for-sale/6200/chatelet/vbc61899
Apartment,,Châtelet,6200,119900,3,1,97,,0,,,241,E,,1,23,,,,,0,,0,,1,0,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/6200/chatelet/vbc91630
Apartment,,Châtelineau,6200,220000,3,1,197,,0,2,1,417,G,,1,16,,,,,0,,0,0,,0,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/6200/chatelineau/vbc87313
Apartment,New,Bastogne,6600,314000,2,1,100,2025,0,,3,,,,1,9,,,,,1,,,,2,1,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/6600/bastogne/vbc91610
